url,review number,location
http://www.mafengwo.cn/u/2946744/review.html,27,"['周庄希尔青年旅舍/Zhouzhuang Hills International Youth Hostel', '乌镇紫藤青年旅馆', '石城', '长溪村', '月亮湾', '老甜沫', '青岛五四广场', '青岛天主教堂', '江苏路基督教堂', '德国总督府旧址/Site of German Governor’s Palace', '青岛美术馆', '青岛邮电博物馆', '青岛海军博物馆', '花石楼', '云栖竹径', '钱王祠', '张三疯奶茶店(街心公园店)', '枯木逢春', '太子湾公园', '乌镇']"
http://www.mafengwo.cn/u/184399/review.html,22,"['安塔利亚/Antalya', '路德教教堂', '斯德哥尔摩当代美术馆/Moderna museet', '斯德哥尔摩大教堂/Stockholm Cathedral', '斯德哥尔摩老城/Gamla Stan', 'Stockholms Stadsbibliotek/Stockholms Stadsbibliotek', '金色和平餐厅/Den Gyldene Freden', '国立中山大学/National Sun Yat-sen University', '玫瑰圣母堂', '高雄爱河', '阿里山森林游乐区/AlishanNationScenicArea', '日月潭国家风景区/Sun Moon Lake', '101大楼/Taipei 101', '国立台湾大学/National Taiwan University', '九份', '赖阿婆芋圆', '九份老街', '耶尼清真寺', '圣索菲亚教堂/HagiaSophiaMuseum', '蓝色清真寺/Blue Mosque']"
http://www.mafengwo.cn/u/262495/review.html,0,[]
http://www.mafengwo.cn/u/117065/review.html,16,"['厦门鼓浪屿鹭飞国际青年旅舍/Gulangyu Lufei International Youth Hostel', '品遥居民俗客栈', '平遥舒琢源客栈二部/Shu Cut Source Inn Two', '苏州同里国际青年旅舍', '桂林绿草地青年客栈/Green grassland Youth inn of Guilin', '明清一条街', '汇丰银行旧址', '第十甫路街', '露德天主教圣母堂', '红楼', '沙面', '顺记冰室', '欧成记面食专家', '南信牛奶甜品专家', '起士林大饭店(小白楼店)/Kiessling', '天津音乐厅']"
http://www.mafengwo.cn/u/468829/review.html,383,"['大雄宝殿', '北京香山饭店/BTG Fragrant Hill Hotel', '世界公园', '什刹海酒吧街', '天涯海角', '海棠湾', '宜兴帕佛伦斯酒店/Hotels & Preference Yixing', 'Club Med普吉岛度假村/Club Med', '岭脚村', '徽饶古道', '黟县打鼓岭', '新安江山水画廊', '洞里萨湖/Tonle Sap Lake', '战象平台/Terrace of the Elephants', '癞王坛/Terrace of the Leper King', '十二塔庙/Prasat Suor prat', '托玛侬神庙/Thommanon', '巴孔寺/Bakong', '神牛寺/Preah Ko', '索菲特佛基拉皇家高尔夫及水疗度假村/Sofitel Angkor Phokeethra Golf & Spa Resort']"
http://www.mafengwo.cn/u/193571/review.html,11,"['长坪村', '吾屯下寺', '塔尔寺', '水井巷', '色须寺', '扎溪卡草原', '新路海白唇鹿自然保护区', '霍尔广场', '塔公草原', '开心旅馆', '新都桥镇']"
http://www.mafengwo.cn/u/245159/review.html,87,"['莫干山圣岛·莫干洋家乐', '五道营胡同', '婺源篁岭晒秋美宿/Huangling Shaiqiu Meisu Hotel', '全聚德(朝阳北路店)', '朝阳大悦城', '马赛马拉国家野生动物保护区/Masai mara natioanl Reserve', '航海家海滩度假酒店/Voyager Beach Resort', '香港柏宁铂尔曼酒店/The Park Lane Hong Kong, a Pullman Hotel', '张家港国贸酒店/Guomao Hotel', '西单大悦城', '弗罗伦萨小镇/Florentia Village', '常州大酒店/Changzhou Grand Hotel', '北京京伦饭店/Jinglun Hotel', '熙盛源(健康路店)', '林静小吃', '北京西苑饭店/Xiyuan Hotel', '成都联森酒店（宽窄巷子店）/Leadersky Hotel (Kuanzhai Xiangzi)', '北京国际饭店/Beijing International Hotel', '宜家家居', '胜博殿(富力广场店)']"
http://www.mafengwo.cn/u/103908/review.html,16,"['爱妮岛/El Nido', '科隆岛/Coron', '河内大教堂/圣约瑟夫大教堂/Saint Joseph Cathedral', '博达哈大佛塔', '苏瓦扬布佛塔/Swayambhunath Temple', '费瓦湖/Phewa Lake', '帕斯帕提那寺/PashupatinathTemple', '苏瓦扬布佛塔/Swayambhunath Temple', '北极村', '龙树坝梯田', '李金镛祠堂', '奇特旺国家森林公园/Chitwan Nationality Park', 'KHUMBU RESORT/KHUMBU RESORT', '帕坦杜巴广场/Patan Durbar Square', '加德满都杜巴广场/Hanuman Dhoka', '南泉别墅']"
http://www.mafengwo.cn/u/117575/review.html,317,"['福建土楼永定景区', '云水谣古镇', '鼓浪屿', '天鹅湖', '巴音布鲁克草原', '白沙山和流沙河', '红其拉甫口岸/Khunjerab Pass', '艾提尕尔清真寺', '高台民居', '喀什大巴扎', '东湖公园', '环疆夜市', '天山神秘大峡谷', '天山大峡谷/TianShan Grand Canyon', '独库公路', '那拉提草原', '赛里木湖国家级风景名胜区', '卧龙湾', '月亮湾', '神仙湾']"
http://www.mafengwo.cn/u/10481/review.html,5,"['婺源理坑宾馆', '理坑', '江岭', '许愿池/Trevi Fountain', '梵蒂冈/Vatican City']"
http://www.mafengwo.cn/u/342734/review.html,3,"['日喀则阳孜酒店', '大昭寺', '希夏邦马峰景区']"
